日,味覚障害: (日本)
2021-04-12,43
2021-04-13,42
2021-04-14,27
2021-04-15,11
2021-04-16,16
2021-04-17,15
2021-04-18,16
2021-04-19,22
2021-04-20,44
2021-04-21,27
2021-04-22,38
2021-04-23,38
2021-04-24,43
2021-04-25,26
2021-04-26,43
2021-04-27,32
2021-04-28,37
2021-04-29,15
2021-04-30,5
2021-05-01,31
2021-05-02,25
2021-05-03,32
2021-05-04,25
2021-05-05,40
2021-05-06,36
2021-05-07,41
2021-05-08,41
2021-05-09,26
2021-05-10,37
2021-05-11,52
2021-05-12,37
2021-05-13,42
2021-05-14,5
2021-05-15,20
2021-05-16,49
2021-05-17,25
2021-05-18,41
2021-05-19,40
2021-05-20,25
2021-05-21,40
2021-05-22,37
2021-05-23,26
2021-05-24,26
2021-05-25,42
2021-05-26,26
2021-05-27,36
2021-05-28,26
2021-05-29,16
2021-05-30,25
2021-05-31,31
2021-06-01,42
2021-06-02,42
2021-06-03,10
2021-06-04,25
2021-06-05,16
2021-06-06,10
2021-06-07,16
2021-06-08,21
2021-06-09,10
2021-06-10,31
2021-06-11,26
2021-06-12,16
2021-06-13,5
2021-06-14,25
2021-06-15,31
2021-06-16,26
2021-06-17,5
2021-06-18,31
2021-06-19,36
2021-06-20,5
2021-06-21,16
2021-06-22,42
2021-06-23,26
2021-06-24,11
2021-06-25,37
2021-06-26,16
2021-06-27,15
2021-06-28,10
2021-06-29,21
2021-06-30,11
2021-07-01,30
2021-07-02,26
2021-07-03,15
2021-07-04,10
2021-07-05,31
2021-07-06,31
2021-07-07,46
2021-07-08,15
2021-07-09,30
2021-07-10,21
2021-07-11,15
2021-07-12,15
2021-07-13,16
2021-07-14,46
2021-07-15,16
2021-07-16,26
2021-07-17,10
2021-07-18,31
2021-07-19,31
2021-07-20,21
2021-07-21,10
2021-07-22,10
2021-07-23,10
2021-07-24,21
2021-07-25,21
2021-07-26,50
2021-07-27,55
2021-07-28,15
2021-07-29,57
2021-07-30,61
2021-07-31,52
2021-08-01,52
2021-08-02,82
2021-08-03,66
2021-08-04,57
2021-08-05,61
2021-08-06,40
2021-08-07,46
2021-08-08,40
2021-08-09,74
2021-08-10,91
2021-08-11,35
2021-08-12,98
2021-08-13,43
2021-08-14,54
2021-08-15,68
2021-08-16,73
2021-08-17,76
2021-08-18,69
2021-08-19,97
2021-08-20,100
