日,コロナ 濃厚接触者: (日本)
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,4
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,4
2020-02-05,7
2020-02-06,4
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,4
2020-02-13,0
2020-02-14,0
2020-02-15,7
2020-02-16,14
2020-02-17,4
2020-02-18,0
2020-02-19,0
2020-02-20,11
2020-02-21,7
2020-02-22,7
2020-02-23,7
2020-02-24,10
2020-02-25,24
2020-02-26,17
2020-02-27,11
2020-02-28,33
2020-02-29,4
2020-03-01,25
2020-03-02,31
2020-03-03,21
2020-03-04,27
2020-03-05,13
2020-03-06,21
2020-03-07,14
2020-03-08,20
2020-03-09,56
2020-03-10,36
2020-03-11,24
2020-03-12,20
2020-03-13,27
2020-03-14,14
2020-03-15,14
2020-03-16,17
2020-03-17,17
2020-03-18,10
2020-03-19,10
2020-03-20,14
2020-03-21,7
2020-03-22,0
2020-03-23,3
2020-03-24,10
2020-03-25,34
2020-03-26,21
2020-03-27,33
2020-03-28,24
2020-03-29,20
2020-03-30,62
2020-03-31,36
2020-04-01,66
2020-04-02,43
2020-04-03,56
2020-04-04,61
2020-04-05,46
2020-04-06,74
2020-04-07,58
2020-04-08,39
2020-04-09,98
2020-04-10,55
2020-04-11,42
2020-04-12,57
2020-04-13,56
2020-04-14,91
2020-04-15,48
2020-04-16,52
2020-04-17,40
2020-04-18,15
2020-04-19,54
2020-04-20,36
2020-04-21,30
2020-04-22,53
2020-04-23,48
2020-04-24,47
2020-04-25,19
2020-04-26,22
2020-04-27,24
2020-04-28,37
2020-04-29,9
2020-04-30,14
2020-05-01,12
2020-05-02,9
2020-05-03,22
2020-05-04,9
2020-05-05,6
2020-05-06,17
2020-05-07,6
2020-05-08,6
2020-05-09,12
2020-05-10,3
2020-05-11,18
2020-05-12,12
2020-05-13,25
2020-05-14,15
2020-05-15,15
2020-05-16,3
2020-05-17,3
2020-05-18,9
2020-05-19,3
2020-05-20,0
2020-05-21,9
2020-05-22,9
2020-05-23,0
2020-05-24,6
2020-05-25,6
2020-05-26,3
2020-05-27,13
2020-05-28,0
2020-05-29,19
2020-05-30,3
2020-05-31,3
2020-06-01,19
2020-06-02,13
2020-06-03,9
2020-06-04,13
2020-06-05,0
2020-06-06,6
2020-06-07,7
2020-06-08,10
2020-06-09,3
2020-06-10,10
2020-06-11,6
2020-06-12,3
2020-06-13,10
2020-06-14,3
2020-06-15,3
2020-06-16,3
2020-06-17,10
2020-06-18,3
2020-06-19,10
2020-06-20,17
2020-06-21,10
2020-06-22,7
2020-06-23,13
2020-06-24,17
2020-06-25,7
2020-06-26,17
2020-06-27,10
2020-06-28,13
2020-06-29,17
2020-06-30,17
2020-07-01,10
2020-07-02,3
2020-07-03,23
2020-07-04,13
2020-07-05,23
2020-07-06,29
2020-07-07,10
2020-07-08,27
2020-07-09,27
2020-07-10,17
2020-07-11,17
2020-07-12,14
2020-07-13,41
2020-07-14,48
2020-07-15,42
2020-07-16,35
2020-07-17,56
2020-07-18,23
2020-07-19,31
2020-07-20,59
2020-07-21,58
2020-07-22,65
2020-07-23,61
2020-07-24,20
2020-07-25,68
2020-07-26,84
2020-07-27,65
2020-07-28,44
2020-07-29,83
2020-07-30,55
2020-07-31,80
2020-08-01,46
2020-08-02,67
2020-08-03,96
2020-08-04,69
2020-08-05,100
2020-08-06,58
2020-08-07,48
2020-08-08,49
2020-08-09,31
2020-08-10,34
2020-08-11,64
2020-08-12,44
2020-08-13,51
2020-08-14,67
2020-08-15,28
2020-08-16,38
2020-08-17,45
2020-08-18,31
2020-08-19,49
2020-08-20,49
2020-08-21,41
2020-08-22,21
2020-08-23,27
2020-08-24,35
2020-08-25,57
2020-08-26,60
2020-08-27,56
2020-08-28,46
2020-08-29,18
2020-08-30,24
2020-08-31,41
2020-09-01,38
2020-09-02,24
2020-09-03,28
2020-09-04,18
2020-09-05,7
2020-09-06,10
2020-09-07,21
2020-09-08,17
2020-09-09,32
2020-09-10,28
2020-09-11,17
2020-09-12,34
2020-09-13,24
2020-09-14,18
2020-09-15,25
2020-09-16,3
2020-09-17,14
2020-09-18,25
2020-09-19,29
2020-09-20,11
2020-09-21,11
2020-09-22,7
2020-09-23,17
2020-09-24,10
2020-09-25,22
2020-09-26,11
2020-09-27,25
2020-09-28,7
2020-09-29,15
2020-09-30,18
2020-10-01,15
2020-10-02,7
2020-10-03,15
2020-10-04,14
2020-10-05,25
2020-10-06,37
2020-10-07,11
2020-10-08,15
2020-10-09,27
2020-10-10,7
2020-10-11,11
