日,特別定額給付金: (日本)
2021-04-12,70
2021-04-13,62
2021-04-14,67
2021-04-15,53
2021-04-16,41
2021-04-17,32
2021-04-18,43
2021-04-19,45
2021-04-20,49
2021-04-21,68
2021-04-22,69
2021-04-23,60
2021-04-24,40
2021-04-25,47
2021-04-26,56
2021-04-27,52
2021-04-28,51
2021-04-29,32
2021-04-30,45
2021-05-01,32
2021-05-02,32
2021-05-03,34
2021-05-04,24
2021-05-05,33
2021-05-06,38
2021-05-07,44
2021-05-08,43
2021-05-09,37
2021-05-10,63
2021-05-11,52
2021-05-12,37
2021-05-13,48
2021-05-14,36
2021-05-15,29
2021-05-16,28
2021-05-17,28
2021-05-18,29
2021-05-19,68
2021-05-20,74
2021-05-21,41
2021-05-22,22
2021-05-23,28
2021-05-24,41
2021-05-25,61
2021-05-26,100
2021-05-27,69
2021-05-28,69
2021-05-29,53
2021-05-30,34
2021-05-31,53
2021-06-01,41
2021-06-02,49
2021-06-03,41
2021-06-04,32
2021-06-05,30
2021-06-06,29
2021-06-07,43
2021-06-08,28
2021-06-09,33
2021-06-10,33
2021-06-11,32
2021-06-12,22
2021-06-13,25
2021-06-14,41
2021-06-15,36
2021-06-16,42
2021-06-17,32
2021-06-18,23
2021-06-19,16
2021-06-20,22
2021-06-21,41
2021-06-22,41
2021-06-23,36
2021-06-24,33
2021-06-25,26
2021-06-26,22
2021-06-27,24
2021-06-28,33
2021-06-29,33
2021-06-30,47
2021-07-01,38
2021-07-02,25
2021-07-03,29
2021-07-04,30
2021-07-05,42
2021-07-06,48
2021-07-07,28
2021-07-08,38
2021-07-09,38
2021-07-10,34
2021-07-11,33
2021-07-12,29
2021-07-13,31
2021-07-14,30
2021-07-15,33
2021-07-16,37
2021-07-17,12
2021-07-18,13
2021-07-19,24
2021-07-20,27
2021-07-21,16
2021-07-22,25
2021-07-23,11
2021-07-24,14
2021-07-25,10
2021-07-26,23
2021-07-27,32
2021-07-28,29
2021-07-29,33
2021-07-30,45
2021-07-31,21
2021-08-01,35
2021-08-02,30
2021-08-03,27
2021-08-04,33
2021-08-05,28
2021-08-06,31
2021-08-07,21
2021-08-08,22
2021-08-09,22
2021-08-10,23
2021-08-11,33
2021-08-12,52
2021-08-13,26
2021-08-14,20
2021-08-15,20
2021-08-16,30
2021-08-17,29
2021-08-18,28
2021-08-19,24
2021-08-20,23
