日,味覚障害: (日本)
2020-01-16,3
2020-01-17,3
2020-01-18,7
2020-01-19,10
2020-01-20,14
2020-01-21,10
2020-01-22,14
2020-01-23,26
2020-01-24,3
2020-01-25,3
2020-01-26,7
2020-01-27,10
2020-01-28,3
2020-01-29,3
2020-01-30,7
2020-01-31,10
2020-02-01,7
2020-02-02,10
2020-02-03,10
2020-02-04,14
2020-02-05,21
2020-02-06,10
2020-02-07,14
2020-02-08,10
2020-02-09,7
2020-02-10,0
2020-02-11,3
2020-02-12,17
2020-02-13,10
2020-02-14,7
2020-02-15,10
2020-02-16,10
2020-02-17,13
2020-02-18,20
2020-02-19,0
2020-02-20,17
2020-02-21,7
2020-02-22,10
2020-02-23,20
2020-02-24,3
2020-02-25,10
2020-02-26,7
2020-02-27,10
2020-02-28,10
2020-02-29,0
2020-03-01,7
2020-03-02,3
2020-03-03,10
2020-03-04,13
2020-03-05,13
2020-03-06,7
2020-03-07,7
2020-03-08,13
2020-03-09,3
2020-03-10,6
2020-03-11,0
2020-03-12,16
2020-03-13,0
2020-03-14,13
2020-03-15,0
2020-03-16,6
2020-03-17,6
2020-03-18,6
2020-03-19,6
2020-03-20,10
2020-03-21,10
2020-03-22,13
2020-03-23,12
2020-03-24,23
2020-03-25,19
2020-03-26,79
2020-03-27,78
2020-03-28,42
2020-03-29,25
2020-03-30,56
2020-03-31,43
2020-04-01,50
2020-04-02,31
2020-04-03,72
2020-04-04,87
2020-04-05,100
2020-04-06,86
2020-04-07,73
2020-04-08,93
2020-04-09,49
2020-04-10,55
2020-04-11,49
2020-04-12,45
2020-04-13,50
2020-04-14,61
2020-04-15,54
2020-04-16,76
2020-04-17,35
2020-04-18,61
2020-04-19,51
2020-04-20,37
2020-04-21,66
2020-04-22,21
2020-04-23,31
2020-04-24,33
2020-04-25,33
2020-04-26,44
2020-04-27,23
2020-04-28,32
2020-04-29,21
2020-04-30,21
2020-05-01,31
2020-05-02,38
2020-05-03,38
2020-05-04,36
2020-05-05,41
2020-05-06,30
2020-05-07,31
2020-05-08,26
2020-05-09,17
2020-05-10,29
2020-05-11,17
2020-05-12,15
2020-05-13,21
2020-05-14,23
2020-05-15,17
2020-05-16,17
2020-05-17,9
2020-05-18,15
2020-05-19,11
2020-05-20,6
2020-05-21,15
2020-05-22,15
2020-05-23,15
2020-05-24,15
2020-05-25,12
2020-05-26,14
2020-05-27,18
2020-05-28,6
2020-05-29,24
2020-05-30,15
2020-05-31,18
2020-06-01,15
2020-06-02,21
2020-06-03,18
2020-06-04,12
2020-06-05,12
2020-06-06,9
2020-06-07,12
2020-06-08,27
2020-06-09,20
2020-06-10,12
2020-06-11,21
2020-06-12,12
2020-06-13,15
2020-06-14,6
2020-06-15,9
2020-06-16,6
2020-06-17,16
2020-06-18,12
2020-06-19,18
2020-06-20,16
2020-06-21,22
2020-06-22,29
2020-06-23,3
2020-06-24,19
2020-06-25,22
2020-06-26,10
2020-06-27,13
2020-06-28,12
2020-06-29,6
2020-06-30,19
2020-07-01,3
2020-07-02,13
2020-07-03,25
2020-07-04,16
2020-07-05,22
2020-07-06,18
2020-07-07,3
2020-07-08,16
2020-07-09,19
2020-07-10,10
2020-07-11,16
2020-07-12,19
2020-07-13,13
2020-07-14,19
2020-07-15,16
2020-07-16,20
2020-07-17,20
2020-07-18,21
2020-07-19,26
2020-07-20,33
2020-07-21,19
2020-07-22,19
2020-07-23,19
2020-07-24,35
2020-07-25,29
2020-07-26,38
2020-07-27,45
2020-07-28,19
2020-07-29,52
2020-07-30,39
2020-07-31,23
2020-08-01,27
2020-08-02,30
2020-08-03,29
2020-08-04,33
2020-08-05,42
2020-08-06,36
2020-08-07,29
2020-08-08,30
2020-08-09,13
2020-08-10,26
2020-08-11,9
2020-08-12,38
2020-08-13,19
2020-08-14,13
2020-08-15,30
2020-08-16,16
2020-08-17,32
2020-08-18,16
2020-08-19,16
2020-08-20,20
2020-08-21,20
2020-08-22,20
2020-08-23,16
2020-08-24,23
2020-08-25,17
2020-08-26,33
2020-08-27,13
2020-08-28,13
2020-08-29,30
2020-08-30,20
2020-08-31,10
2020-09-01,7
2020-09-02,26
2020-09-03,16
2020-09-04,7
2020-09-05,16
2020-09-06,9
2020-09-07,13
2020-09-08,7
2020-09-09,10
2020-09-10,10
2020-09-11,23
2020-09-12,10
2020-09-13,3
2020-09-14,17
2020-09-15,17
2020-09-16,17
2020-09-17,17
2020-09-18,20
2020-09-19,10
2020-09-20,14
2020-09-21,33
2020-09-22,10
2020-09-23,23
2020-09-24,30
2020-09-25,18
2020-09-26,14
2020-09-27,13
2020-09-28,14
2020-09-29,21
2020-09-30,7
2020-10-01,7
2020-10-02,11
2020-10-03,14
2020-10-04,27
2020-10-05,3
2020-10-06,14
2020-10-07,7
2020-10-08,17
2020-10-09,26
2020-10-10,21
2020-10-11,14
